platform,referrer,geo_information.province,geo_information.city,geo_information.country,geo_information.coordinates.0,geo_information.coordinates.1,geo_information.postal_code,geo_information.country_code,geo_information.continent,keen.keen.timestamp,keen.created_at,keen.id,user.gender,user.age,user.id,ip_address
Mobile,google / organic,Seoul,Dongjak-gu,Republic of Korea,126.9515,37.5006,null,KR,Asia,2019-11-26T13:55:00.741Z,2019-11-26T21:55:02.839Z,5ddd9f360933710001d1df0c,male,41,971,110.35.154.184
Mobile,google / organic,Seoul,Dongjak-gu,Republic of Korea,126.9515,37.5006,null,KR,Asia,2019-11-27T02:55:00.741Z,2019-11-26T21:55:02.839Z,5ddd9f360933710001d1df0b,male,41,971,110.35.154.184
Web,direct / none,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T16:55:00.741Z,2019-11-26T21:55:02.845Z,5ddd9f360933710001d1df1c,male,32,977,175.234.32.203
Web,direct / none,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T21:55:00.741Z,2019-11-26T21:55:02.845Z,5ddd9f360933710001d1df1b,male,32,977,175.234.32.203
Web,direct / none,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-27T05:55:00.741Z,2019-11-26T21:55:02.845Z,5ddd9f360933710001d1df1a,male,32,977,175.234.32.203
Mobile,google / organic,null,null,Japan,139.69,35.69,null,JP,Asia,2019-11-27T00:55:00.741Z,2019-11-26T21:55:02.832Z,5ddd9f360933710001d1def9,male,35,959,112.136.51.57
Mobile,direct / none,Tokyo,Sumida,Japan,139.8209,35.7329,131-0031,JP,Asia,2019-11-26T20:55:00.741Z,2019-11-26T21:55:02.832Z,5ddd9f360933710001d1def8,female,32,958,210.194.172.198
Mobile,direct / none,Tokyo,Sumida,Japan,139.8209,35.7329,131-0031,JP,Asia,2019-11-26T17:55:00.741Z,2019-11-26T21:55:02.831Z,5ddd9f360933710001d1def7,female,32,958,210.194.172.198
Mobile,direct / none,Tokyo,Sumida,Japan,139.8209,35.7329,131-0031,JP,Asia,2019-11-26T18:55:00.741Z,2019-11-26T21:55:02.831Z,5ddd9f360933710001d1def6,female,32,958,210.194.172.198
Mobile,google / organic,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T18:55:00.741Z,2019-11-26T21:55:02.835Z,5ddd9f360933710001d1df01,female,33,963,42.37.77.132
Mobile,google / organic,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T19:55:00.741Z,2019-11-26T21:55:02.835Z,5ddd9f360933710001d1df00,female,33,963,42.37.77.132
Mobile,google / organic,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-27T03:55:00.741Z,2019-11-26T21:55:02.834Z,5ddd9f360933710001d1deff,female,33,963,42.37.77.132
Mobile,google / ads,Tokyo,Chiyoda-ku,Japan,139.7595,35.6995,101-0064,JP,Asia,2019-11-27T04:55:00.740Z,2019-11-26T21:55:02.823Z,5ddd9f360933710001d1dee2,female,33,948,220.145.131.131
Mobile,google / ads,Tokyo,Chiyoda-ku,Japan,139.7595,35.6995,101-0064,JP,Asia,2019-11-26T15:55:00.740Z,2019-11-26T21:55:02.822Z,5ddd9f360933710001d1dee1,female,33,948,220.145.131.131
Mobile,google / organic,Shanxi,null,China,112.4708,37.7269,null,CN,Asia,2019-11-26T10:55:00.740Z,2019-11-26T21:55:02.822Z,5ddd9f360933710001d1dee0,other,33,947,118.74.189.201
Mobile,facebook / cpc,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-27T06:55:00.739Z,2019-11-26T21:55:02.809Z,5ddd9f360933710001d1debd,male,32,930,211.253.236.89
Mobile,facebook / cpc,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T20:55:00.739Z,2019-11-26T21:55:02.808Z,5ddd9f360933710001d1debc,male,32,930,211.253.236.89
Mobile,facebook / cpc,null,null,Republic of Korea,126.97409999999999,37.5112,null,KR,Asia,2019-11-26T13:55:00.739Z,2019-11-26T21:55:02.808Z,5ddd9f360933710001d1debb,male,32,930,211.253.236.89
