keen.timestamp,attempt,category,email,event,mc_stats,phase_id,singlesend_name
2020-09-14T08:11:12.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T09:12:07.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T11:27:03.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T12:51:42.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T13:46:07.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T13:52:02.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T13:55:54.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,test,email_001
2020-09-14T15:12:09.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T15:12:12.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T15:44:15.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T16:36:45.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_001
2020-09-14T17:01:34.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:36.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:38.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:48.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:46.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:43.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:42.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:47.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:46.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:38.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:48.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:52.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:52.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:53.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:01:56.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:04.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:02.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:06.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:26.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:25.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:32.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:27.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:31.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:40.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:43.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:40.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:38.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:35.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:41.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:47.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:45.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:48.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:50.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:02:51.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:11.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:13.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:15.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:12.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:16.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:19.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:27.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:03:27.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:07.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:25.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:26.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:26.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:34.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
2020-09-14T17:04:55.000Z,,campaign_001,info@keen.io,unsubscribe,singlesend,send,email_012
